Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Price (in USD million), Price/Dose (in USD) ,Buyer/recipient,Region,Income level," GNI per capita, Atlas method (current US$) "," GNI, Atlas method (current US$) ", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,10.000,January and February 2021,Not available, 9.75 ,Argentina,Latin America & Caribbean,Upper middle income," 11,130.00 "," 500,111,583,144.61 "," 44,938,712.00 ",44.94,0.223,11.13%,"Sources differ on number of doses agreed to. A press release from the Gamaleya institute says 10 million doses (dated December 10, and earlier reporting from Reuters says 10 as well. However, other reporting says 25 million doses, or enough to vaccinate 10 million Argentinians (which would be at least 20 million doses)",https://www.reuters.com/article/us-health-coronavirus-argentina-vaccine/argentina-expects-10-million-doses-of-russian-covid-19-vaccine-idUSKBN27I2SG ; https://sputnikvaccine.com/newsroom/pressreleases/rdif-and-government-of-argentina-agree-to-supply-10-million-doses-of-the-sputnik-v-vaccine/ ; https://tribune.com.pk/story/2275592/argentina-inks-deal-with-russia-for-sputnik-v-covid-19-vaccine ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,1.000,End of Feb-21,20.00, 20.00 ,Argentina,Latin America & Caribbean,Upper middle income," 11,130.00 "," 500,111,583,144.61 "," 44,938,712.00 ",44.94,0.022,1.11%,Price provided in terms of price per two doses (40 USD); that price used to calculate price/dose and total price. Option to purchase an additional 29m doses.,https://www.infobae.com/politica/2021/02/09/el-gobierno-cerro-el-acuerdo-para-comprar-vacunas-chinas-y-aguarda-la-autorizacion-de-la-anmat-para-traer-un-millon-de-dosis/ ; https://www.batimes.com.ar/news/argentina/shipment-of-900000-sinopharm-vaccine-doses-arrives-in-argentina.phtml
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,1.000,,9.75, 9.75 ,Armenia,Europe & Central Asia,Upper middle income," 4,680.00 "," 13,834,503,213.99 "," 2,957,731.00 ",2.96,0.338,16.90%,Price based on RDIF's statement that the vaccine is being sold in all markets for 9.75 USD/dose.,https://www.reuters.com/business/healthcare-pharmaceuticals/armenia-receive-1-mln-doses-russias-sputnik-v-shot-tass-2021-04-14/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Moderna,United States,Approved,2,Government Purchase,Yes,,,25.000,,Not available,,Australia,East Asia & Pacific,High income," 55,100.00 "," 1,397,555,434,163.32 "," 25,364,307.00 ",25.36,0.986,49.28%,"Moderna will supply 10m doses this year, against the original strain and 15m does in 2022 against the new variants as booster candidate. Supply of the updated doses are subject to approval",https://www.reuters.com/business/healthcare-pharmaceuticals/moderna-deliver-25-million-covid-19-vaccine-doses-australia-2021-05-12/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Combination,Yes,CSL,Australia,53.800,3.8m doses by early 2021,Not available,,Australia,East Asia & Pacific,High income," 55,100.00 "," 1,397,555,434,163.32 "," 25,364,307.00 ",25.36,2.121,106.05%,"Australian biotech company CSL will manufacture 50m doses of the vaccine in monthly batches (originally at 30m manufacturing, an additional 20m was added to the deal in Dec 2020)",https://www.health.gov.au/initiatives-and-programs/covid-19-vaccines/about-covid-19-vaccines/australias-vaccine-agreements; https://www.theguardian.com/australia-news/2020/sep/06/australian-government-announces-covid-vaccine-deals-to-provide-848m-doses; https://www.abc.net.au/news/2020-08-18/australia-locks-in-oxford-astrazeneca-coronavirus-vaccine-deal/12571454 ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_Australia.pdf
Novavax,United States,Phase 3,2,Government Purchase,Yes,,,51.000,Early to mid 2021,Not available,,Australia,East Asia & Pacific,High income," 55,100.00 "," 1,397,555,434,163.32 "," 25,364,307.00 ",25.36,2.011,100.53%,"The 51m doses agreement follows an initial, smaller agreement in November. Australia will have the option to purchase an additional 10 million doses",https://www.health.gov.au/initiatives-and-programs/covid-19-vaccines/about-covid-19-vaccines/australias-vaccine-agreements; https://www.pm.gov.au/media/australia-secures-further-50-million-doses-covid-19-vaccine
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,40.000,Early to mid 2021,Not available,,Australia,East Asia & Pacific,High income," 55,100.00 "," 1,397,555,434,163.32 "," 25,364,307.00 ",25.36,1.577,78.85%,"Initial purchase of 10m followed by another 10m in Feb 2021, followed by purchase of 20m in Apr 2021",https://www.pm.gov.au/media/australia-secures-further-50-million-doses-covid-19-vaccine ; https://www.health.gov.au/news/10-million-additional-pfizer-biontech-vaccines-secured; https://www.reuters.com/article/us-health-coronavirus-australia-pfizer/australia-to-purchase-20-million-more-doses-of-pfizers-covid-19-vaccine-pm-idUSKBN2BW0AA?il=0
University of Queensland/CSL,Australia,Terminated,2,Government Purchase,Terminated,CSL,Australia,51.000,Mid-2021,Not available,,Australia,East Asia & Pacific,High income," 55,100.00 "," 1,397,555,434,163.32 "," 25,364,307.00 ",25.36,2.011,100.53%,,https://www.csl.com/news/2020/20200907-csl-to-manufacture-and-supply-uq-and-ou-vaccine-candidates-for-australia; https://www.theguardian.com/world/2020/dec/11/australia-terminates-university-of-queensland-vaccine-deal-with-csl-after-false-positives-for-hiv
Gamaleya,Russian Federation,Approved,2,Government Purchase,No,,,1.000,"300,000 in April, 500,000 in May, and 200,000 in June 2021",Not available,,Austria,Europe & Central Asia,High income," 51,460.00 "," 456,779,629,694.87 "," 8,877,067.00 ",8.88,0.113,5.63%,"Talks are ongoing and have not been finalized as of March 30, 2021",https://www.politico.eu/article/austria-in-talks-with-russia-for-1m-sputnik-vaccine-doses/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,0.300,,2.93, 9.75 ,Azerbaijan,Europe & Central Asia,Upper middle income," 4,480.00 "," 44,873,711,541.17 "," 10,023,318.00 ",10.02,0.030,1.50%,,https://caspiannews.com/news-detail/azerbaijan-confirms-purchase-of-astrazeneca-and-sputnik-v-vaccines-2021-3-12-5/ ; https://nk.gov.az/az/document/5207/
